brewery_id;brewery_name;brewery_city;brewery_country;brewery_type
28305;Le Père Defrance;Saint-Yrieix-La-Perche;FR;Brewery
14911;Villagers Inn, The;Blackheath;GB;Bar
51011;Goodfire Brewing Company;Portland;US;Brewery, Bar, Beer-to-go
13484;Cost Plus World Market;The Woodlands;US;Store
6073;Klosterbräu Au am Inn - Hubert Gassner e.K.;Au (Inn);DE;Brewery
48602;Sixth Sense Brewing;Jackson;US;Brewery, Bar
38249;Underground Brewery;Sydney;AU;Brewery, Bar, Eatery, Beer-to-go
27711;Morrison Brewery;Invermay;AU;Brewery
20517;Outlet Liquors;Rehoboth Beach;US;Store
47070;White Elephant Beer Co.;Mt Airy;US;Brewery, Bar, Beer-to-go
22813;Oggi's Pizza & Brewing Co.;Garden Grove;US;Brewery, Bar, Eatery, Beer-to-go
5168;Gasthaus-Brauerei Leuchtturm;Gunzenhausen;DE;Brewery, Bar, Eatery
16485;Brasserie V;Madison;US;Bar, Eatery
52430;The Casual Pint;Toledo;US;Bar, Eatery, Beer-to-go
45039;Cask;Glen Mills;US;Bar, Eatery
33188;The Federal Bar;Long Beach;US;Bar, Eatery
6562;Carl's Cruise In;Troy;US;Store
20260;Springhill Wine & Spirits;North Little Rock;US;Store
50388;Cervejaria Campinas;Campinas - SP;BR;Brewery, Bar, Eatery, Beer-to-go
37934;The Better Beer Store;Winchester;US;Store
34180;Cross Bay Brewery;Morecambe;GB;Brewery
18441;Apex Beverage Co;Apex;US;Store
22923;Yellowhead Brewery;Edmonton;CA;Brewery
13397;Mountaineer Brewing Co.;Martinsburg;US;Brewery, Beer-to-go
49695;The Party Center;Ann Arbor;US;Store
53366;Sunday Beer Co;Brooklyn;US;Brewery
7044;Quarters Carry Out;Bowling Green;US;Store
33068;Boatyard Brewing Co.;Kalamazoo;US;Brewery, Bar, Beer-to-go
27874;Timothy O'Toole's Pub;Chicago;US;Bar, Eatery
3334;Harp Irish Pub;Milwaukee;US;Bar
29128;Darwin's on 4th;Sarasota;US;Brewery, Bar, Eatery
2002;JW Dover Beer & Wine Makers Supplies / Black Box Brewing Co.;Westlake;US;Brewery, Homebrew
22336;Birra Tenute Collesi SRL;Apecchio (PU);IT;Brewery
21075;Ben's Fine Wine & Spirits;Reno;US;Store
52311;Aire Heads Brewery;Goole;GB;Brewery
38330;The Beach;Riverside;US;Bar, Eatery
43913;BrewDog Södermalm;Stockholm;SE;Bar, Eatery
28604;Whitaker & Vega Cervejaria;Indaiatuba;BR;Brewery
45472;Tadg's Gastro Pub;Kyoto-fu Kyoto-shi;JP;Bar, Eatery
24412;Flat 12 Bierwerks;Indianapolis;US;Brewery, Bar, Beer-to-go
22296;Aubrey's Inn;Cape Vincent;US;Bar
53607;Birrificio Apuano;Massa (MS);IT;Brewery
1266;Beers of the World;Rochester;US;Homebrew, Beer-to-go
34082;SPAR;Wien;AT;Store
21273;Luke's Super Liquors;West Yarmouth;US;Store
33577;Cervecería Casa Suárez;Barbosa;CO;Brewery
26659;Old Church & Pub (McMenamins);Wilsonville;US;Brewery, Bar, Eatery, Beer-to-go
6909;101 Bottles of Beer on the Wall;Kent;US;Bar, Beer-to-go
42088;Zly Casy;Praha;CZ;Bar, Eatery, Beer-to-go
666;The Emerson Brewing Company;Dunedin;NZ;Brewery, Bar, Beer-to-go
12258;Mayerling Cellars;Croydon;AU;Store
35995;Yazoo Brewing Beer Station - Nashville Airport;Nashville;US;Bar
